Ticker,Company,Sector,EV (EUR bn),EBITDA (EUR bn),Revenue (EUR bn),Mkt Cap (EUR bn),EV/EBITDA (x),EV/Revenue (x),P/E (x),Data Flag
SAP.DE,SAP SE,Technology,160.7,11.6,37.3,163.0,13.9,4.3,22.4,OK
IFX.DE,Infineon Technologies,Technology,106.7,4.0,15.1,100.6,26.6,7.1,94.4,OK
SHL.DE,Siemens Healthineers,Healthcare,52.8,3.9,23.1,39.1,13.5,2.3,18.8,OK
SRT.DE,Sartorius AG,Healthcare,17.8,0.9,3.6,12.9,19.7,5.0,80.1,OK
MRK.DE,Merck KGaA,Healthcare,71.5,5.7,21.0,63.3,12.6,3.4,25.0,OK
BAYN.DE,Bayer AG,Healthcare,84.8,10.2,45.2,52.4,8.3,1.9,,OK
FRE.DE,Fresenius SE,Healthcare,34.4,3.0,23.0,23.9,11.3,1.5,15.8,OK
QIA.DE,Qiagen NV,Healthcare,8.2,0.7,2.1,7.1,11.2,3.9,20.1,OK
SIE.DE,Siemens AG,Industrials,272.9,11.8,79.7,216.7,23.0,3.4,29.4,OK
ENR.DE,Siemens Energy,Industrials,137.1,3.7,40.1,143.0,37.3,3.4,66.2,OK
RHM.DE,Rheinmetall AG,Industrials,52.4,2.0,10.1,50.9,25.8,5.2,48.1,OK
MTX.DE,MTU Aero Engines,Industrials,22.2,1.5,8.9,20.4,15.2,2.5,20.5,OK
KGX.DE,KION Group,Industrials,12.8,1.7,11.3,5.7,7.6,1.1,15.5,OK
HEI.DE,Heidelberg Materials,Industrials,37.9,4.1,21.6,31.0,9.2,1.8,15.7,OK
BNR.DE,Brenntag SE,Industrials,10.8,0.9,14.8,8.1,11.6,0.7,35.6,OK
AIR.DE,Airbus SE,Industrials,161.2,7.7,72.5,162.3,21.1,2.2,32.6,OK
BMW.DE,BMW AG,Automotive,135.2,14.7,130.7,36.8,9.2,1.0,5.4,EV adj. reqd
MBG.DE,Mercedes-Benz Group,Automotive,125.5,11.1,130.6,43.3,11.3,1.0,8.9,EV adj. reqd
CON.DE,Continental AG,Automotive,20.7,2.5,19.2,15.2,8.3,1.1,,EV adj. reqd
DTG.DE,Daimler Truck,Automotive,52.8,3.6,44.0,33.6,14.8,1.2,28.0,EV adj. reqd
PAH3.DE,Porsche SE,Automotive,13.8,-0.1,,8.7,-271.0,,3.1,N/M – holding co
P911.DE,Porsche AG,Automotive,46.1,2.4,35.8,41.9,18.9,1.3,135.2,OK
VOW3.DE,Volkswagen AG,Automotive,257.8,21.9,320.0,37.4,11.8,0.8,6.1,EV adj. reqd
ALV.DE,Allianz SE,Financials,135.3,19.7,115.5,159.2,6.9,1.2,13.6,N/M – insurer
MUV2.DE,Munich Re,Financials,65.3,,61.4,63.5,,1.1,9.5,N/M – insurer
DBK.DE,Deutsche Bank,Financials,-41.5,,29.8,60.9,,-1.4,10.1,N/M – bank
CBK.DE,Commerzbank,Financials,-37.4,,11.6,41.4,,-3.2,17.4,N/M – bank
DB1.DE,Deutsche Boerse,Financials,50.2,3.3,7.5,45.5,15.4,6.7,22.3,OK
HNR1.DE,Hannover Re,Financials,26.9,4.9,24.3,29.4,5.5,1.1,10.3,N/M – insurer
VNA.DE,Vonovia SE,Financials,63.7,2.3,5.9,19.0,27.6,10.7,5.6,N/M – REIT
BAS.DE,BASF SE,Chemicals,63.6,5.8,59.2,42.3,11.0,1.1,27.9,OK
SY1.DE,Symrise AG,Chemicals,14.4,0.7,4.9,12.8,19.6,2.9,51.3,OK
BEI.DE,Beiersdorf AG,Consumer,14.4,1.6,9.9,16.7,8.9,1.5,18.0,OK
HEN3.DE,Henkel AG,Consumer,31.3,3.2,20.5,30.5,9.7,1.5,15.3,OK
ZAL.DE,Zalando SE,Consumer,7.1,0.5,12.9,7.0,13.4,0.6,61.4,OK
ADS.DE,Adidas AG,Consumer,37.9,2.5,25.3,32.9,15.4,1.5,24.0,OK
RWE.DE,RWE AG,Energy,60.2,1.1,16.3,41.3,56.6,3.7,17.7,OK
EOAN.DE,E.ON SE,Energy,94.9,9.6,77.0,50.1,9.8,1.2,14.6,OK
DTE.DE,Deutsche Telekom,Telecom,290.2,42.0,121.9,121.6,6.9,2.4,13.9,OK
DHL.DE,Deutsche Post DHL,Logistics,84.2,7.8,83.0,62.7,10.8,1.0,18.1,OK
